Event,Publish?,Event Start,Event End,Location,Event Description,Traffic restrictions,GIS location,Advanced notification letter available Y>N,Event times ,Contact/hotline number,Event Venue,Link to letter ,Event website,,,,,,
Music in the Square ,,2/05/2019,2/05/2019,Victoria Square / Tarntanyangga (North),A twilight jazz event.  Food trucks and cafe tables included.,No,"https://www.google.com/maps/@-34.9277073,138.5999084,21z",,5p.m to 7p.m,8203 7203,,Not applicable ,https://www.cityofadelaide.com.au/whats-on/event/music-in-the-square11,,,,,,
Mothers Day Classic 2019,,12/05/2019,12/05/2019,Peace Park; Linear Path; Botanic Gardens and various roads,Fun Run / walk raising funds and awareness for breast cancer research,Yes,"https://www.google.com/maps/@-34.9390187,138.597843,21z",,6.30a.m to 11a.m,8362 2150,,https://www.cityofadelaide.com.au/assets/documents/DOCUMENT_Mothers_Day_Classic_2019_Road_Closures.pdf,https://www.mothersdayclassic.com.au/events/event-map/adelaide/,,,,,,
RSPCA Million Paws Walk,,19/05/2019,19/05/2019,Victoria Park / Pakapakanthi (Park 16),Annual paws walk to raise funds for the RSPCA.,No,"https://www.google.com/maps/@-34.9339385,138.6205486,21z",,8a.m to 2pm,8210 8106,,Not applicable ,https://www.millionpawswalk.com.au/,,,,,,
National Sorry Day 2019 ,,24/05/2019,24/05/2019,Victoria Square / Tarntanyangga (North),National Sorry Day brings together the Stolen Generation to celebrate their survival and looking towards a brighter future.,No,"https://www.google.com.au/maps/@-34.9280321,138.5997472,21z",,10:30a.m to 2:30p.m,8362 1199/  0431 234 561 ,,Not applicable ,To be advised ,,,,,,
DreamBig Children's Festival 2019 & Big Family Weekend 2019,,25/05/2019,26/05/2019,Prince Henry Gardens to Adelaide University,DreamBIG Children’s Festival is South Australia’s iconic biennial arts festival for schools and families. It is divided into two streams- the school's program where children participate in events and performances through their school and the general public program for families. ,No,"https://www.google.com/maps/@-34.9212626,138.6006603,21z",,10a.m to 4pm,8216 8656,,Not applicable ,https://www.dreambigfestival.com.au/,,,,,,
Adelaide Marathon Festival ,,26/05/2019,26/05/2019,Torrens Linear Route between Park 10 and Park 27; War Memorial Drive; Mackinnon Parade; Frome Road & Adelaide Oval,"In its 40th year , the road running event will incorporate a marathon, half marathon with 10 km and 2 km distances.
",TBA,"https://www.google.com/maps/@-34.917047,138.5966881,21z",,7a.m to 2p.m,0447 550 010,,https://www.cityofadelaide.com.au/assets/documents/DOCUMENT_Public_Consultation_Letter_2019.pdf,https://sarrc.org.au/event/2019-adelaide-marathon-festival/,,,,,,
EID Al Fitr Prayer Day,,5/06/2019,6/06/2019,Bonython Park/Tulya Wardli (Park 27),Communal prayer to mark the end of fasting for the month of Ramadhan.,No,"https://www.google.com/maps/search/bonython+park/@-34.9130536,138.5790905,21z",,8:30a.m- 12:30p.m,"0415 781 833
shahiq94@hotmail.com",,Not applicable ,To be advised ,,,,,,
Adelaide Cabaret Festival 2019,,7/06/2019,22/06/2019,Elder Park ,"Adelaide Festival Centre's Adelaide Cabaret Festival is the biggest cabaret festival in the word and highlights the best local, national and international artists through an eclectic program of classic and contemporary cabaret performances",No,"https://www.google.com.au/maps/@-34.9178807,138.598257,21z",,Refer to event website,8216 8600,,https://www.cityofadelaide.com.au/assets/documents/DOCUMENT-Adelaide-Cabaret-Festival-ADVANCE_NOTIFICATION_TO_STAKEHOLDERS.pdf,https://www.adelaidecabaretfestival.com.au/,,,,,,
UniSA HPV Super Series - Pedal Prix ,,15/06/2019,16/06/2019,Victoria Park/Pakapakanthi (Park 16),Human powered vehicle race.,No,"https://www.google.com/maps/@-34.9292168,138.6184974,21z",,Saturday 10am - 4pm & Sunday 10a.m - 4p.m,"08 8355 7450 
0417 824 361 ",,Not applicable ,https://www.ahpvss.com/,,,,,,
Jurassic Creatures,,1/07/2019,28/07/2019,Bonython Park/Tulya Wardli (Park 27),Educational event with animatronic dinosaurs.,No,"https://www.google.com/maps/@-34.9123654,138.5789191,21z",,10:00am- 9:00p.m,"0410 669 253
https://www.jurassiccreatures.com.au/",,Not applicable ,https://www.jurassiccreatures.com.au/,,,,,,
Skating At Victoria Square,,1/07/2019,21/07/2019,Victoria Square/Tarntanyangga,A winter wonderland during the school holidays. A temporary ice rink will be set up alongside a 25m long ice slide.,No,"https://www.google.com/maps/@-34.9292558,138.6000902,21z",,"Mon-Wed, 10a.m-9p.m
Thurs: 10a.m-10p.m
Fri: 10a.m-11p.m
Sat: 9a.m-11p.m
Sun: 9a.m-10p.m

",0402 544 063,,Not applicable ,http://adelaide.skatingat.com.au/,,,,,,
Pop-up Adventure Playspace - Eighty Eight O’Connell,,8/07/2019,13/07/2019,88 O'Connell St; North Adelaide,"Free School Holiday Event on 88 OC. The space will include nature play, fire pit cooking, climbing wall and interactive play stations.   ",No,"https://www.google.com/maps/place/88+O'Connell+St,+North+Adelaide+SA+5006/@-34.9062071,138.5962224,21z/data=!4m13!1m7!3m6!1s0x6ab0c8d82d382c3d:0x5e039eeb85585b78!2s88+O'Connell+St,+North+Adelaide+SA+5006!3b1!8m2!",,10am-2pm daily ,8203 7203,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
NAIDOC In the Mall,,9/07/2019,9/07/2019,Gawler Place Canopy- Rundle Mall,"NAIDOC stands for National Aborigines and Islanders Day Observance Committee. Its origins can be traced to the emergence of Aboriginal groups in the 1920′s which sought to increase awareness in the wider community of the status and treatment of Indigenous Australians.

Predominately, NAIDOC Week is held in the first week (a Sunday to Sunday) of July that incorporates the second Friday - which historically was celebrated as 'National Aboriginal Day'. It is a time to celebrate Aboriginal and Torres Strait Islander history, culture and achievements and is an opportunity to recognise the contributions that Indigenous Australians make to our country and society.

The 2019 NAIDOC in the Mall theme is ‘Voice. Treaty. Truth. Let’s work together’.

The free event will include speeches, live music and a range of interactive activities.",No,"https://www.google.com/maps/place/Rundle+Mall+%26+Gawler+Place,+Adelaide+SA+5000/@-34.9228674,138.6017776,21z/data=!4m5!3m4!1s0x6ab0ced42803bbdb:0xe65a826dbdba9cef!8m2!3d-34.9228718!4d138.6019144",,10.30am-1:30pm,8203 7203,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Hello Hutt St,,12/07/2019,31/08/2019,Hutt St,"Hello Hutt St will be a series of surprising activations including live music, art and performance. Information regarding the program will be available on the City of Adelaide What's on page and Faceboo",No,"https://www.google.com/maps/place/Hutt+St,+Adelaide+SA+5000/@-34.9311182,138.61202,21z/data=!4m5!3m4!1s0x6ab0cecf10e89dff:0x2f4e1401d6bf0175!8m2!3d-34.9300283!4d138.6121159",,"Various Hours on 16, 17, 20, 26 and 31 July
Various Hours on 6, 17, 24, 28 and 31 August",8203 7203,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
NAIDOC Family Fun Day,,12/07/2019,12/07/2019,Victoria Square/Tarntanyangga (North),"NAIDOC SA March and Family fun day is a community cultural event with Entertainment Childrens's Activities and Plenty of food options. The event celebrates the history, culture and achievements of Aboriginal and Torres Strait Islander peoples.",No,"https://www.google.com/maps/place/Victoria+Square+Tarntanyangga/@-34.9278276,138.5997365,21z/data=!4m5!3m4!1s0x6ab0ced85dabe055:0xf03365545ba4030!8m2!3d-34.928133!4d138.5999216",,11am-3:30pm,anaidoc@gmail.com. ,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Umbrella Opening Street Party,,12/07/2019,12/07/2019,Topham Mall,"Opening night celebration of Music SA's 4th installment of ""Umbrella Winter City Sounds""",,"https://www.google.com/maps/place/Topham+Mall,+Adelaide+SA+5000/@-34.9251657,138.5975096,21z/data=!4m5!3m4!1s0x6ab0cf28149aa731:0xbac44a72bc35b692!8m2!3d-34.9250978!4d138.5976813",,5pm-10pm,08 7320  3304,,Not applicable ,https://umbrellaadelaide.com.au/events/umbrella-opening-street-party/ ,,,,,,
Winter in the East End ,,12/07/2019,24/08/2019,The Stag Lane  ,Grab your warmest coat and head out to explore the East End laneways. Listen to live music by the firepits and sip on hot chocolate or mulled wine to chase the winter blues away. ,Yes,"https://www.google.com/maps/place/The+Stag+Hotel/@-34.9226346,138.6104814,21z/data=!4m5!3m4!1s0x6ab0cecd254b57e1:0xb7a4e501d5a10ae1!8m2!3d-34.9226137!4d138.610586",,"12, 13, 19, 20, 26 and 27 July: 5.30p.m-11.00p.m
9, 10, 16, 17, 23 and 24 August: 5.30p.m-11.00p.m",8203 7203 ,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Winter in the East End ,,12/07/2019,24/08/2019,Vaughan Place,Grab your warmest coat and head out to explore the East End laneways. Listen to live music by the firepits and sip on hot chocolate or mulled wine to chase the winter blues away. ,Yes,"https://www.google.com/maps/@-34.9218048,138.6080501,21z",,"12, 13, 19, 20, 26 and 27 July: 5.30p.m-11.00p.m
9, 10, 16, 17, 23 and 24 August: 5.30p.m-11.00p.m",8203 7203 ,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Winter in the East End ,,12/07/2019,24/08/2019,Vardon Avenue,Grab your warmest coat and head out to explore the East End laneways. Listen to live music by the firepits and sip on hot chocolate or mulled wine to chase the winter blues away. ,Yes,"https://www.google.com/maps/@-34.9227602,138.6095249,21z",,"12, 13, 19, 20, 26 and 27 July: 5.30p.m-11.00p.m
9, 10, 16, 17, 23 and 24 August: 5.30p.m-11.00p.m",8203 7203,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Cry Baby,,20/07/2019,20/07/2019,Soloman Street ,"Free community street party with live music & DJs, food vendors & bar.",Yes,"https://www.google.com/maps/place/Solomon+Street/@-34.9235033,138.6035173,21z/data=!4m12!1m6!3m5!1s0x6ab0d041b2aea677:0xe911af3abd4aad90!2sSolomon+Street!8m2!3d-34.9234214!4d138.6035341!3m4!1s0x6ab0d041b2aea677:0xe911af3abd4aad90!8m2!3d-34.9234214!4d138.6035341",,4pm – 11pm ,(08) 8362 2150,,Yes- see letter,"https://www.facebook.com/events/430746474437702/,
https://umbrellaadelaide.com.au/events/cry-baby-fest/
",,,,,,
Cry Baby,,20/07/2019,20/07/2019,Burnett Street,"Free community street party with live music & DJs, food vendors & bar.",Yes,"https://www.google.com/maps/place/Burnett+St,+Adelaide+SA+5000/@-34.9241107,138.5959544,21z/data=!4m5!3m4!1s0x6ab0cf288f092a3f:0xaba60c0172c2e6a2!8m2!3d-34.9241992!4d138.5958156",,4pm – 11pm ,(08) 8362 2150,,Yes- see letter,"https://www.facebook.com/events/430746474437702/,
https://umbrellaadelaide.com.au/events/cry-baby-fest/",,,,,,
Alleyway Acoustica in Lindes Lane,,24/07/2019,24/07/2019,Lindes Lane,"An Umbrella Winter City Sounds event.Tucked into a laneway off of Rundle Mall, Lindes Lane will be filled with cozy vibes, great atmosphere and sweet tunes from Diamond Skies, DEAN FOREVER, LUKA, and Erin Mo. Come along and enjoy the streets of Adelaide.",No,"https://www.google.com/maps/@-34.9230181,138.6032043,21z/data=!4m2!10m1!1e3",,5.00p.m-9:00p.m,8203 7203,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
UniSA HPV Super Series- Pedal Prix,,27/07/2019,28/07/2019,Victoria Park/Pakapakanthi (Park 16),Human powered vehicle race.,,"https://www.google.com/maps/search/victoria+park/@-34.9326982,138.620593,21z",,Saturday 10a.m - 4p.m & Sunday 10a.m - 4p.m,"08 8355 7450 
0417 824 361  ",,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Corporate Cup (Pre-Cup),,31/07/2019,31/07/2019,Red Gum Park / Karrawirra Park South (Park 12) & Linear Path,"Designed for people of all ages to improve their fitness over a period of 16 weeks. Operating once a fortnight, participants choose to walk of run either a 2.2km, 4.5km or 7.2 km course along the Linear Park Track by the River Torrens in the City.",No ,"https://www.google.com/maps/place/Red+Gum+Park+%2F+Karrawirra+(Park+12)/@-34.9152606,138.6024576,21z/data=!4m5!3m4!1s0x6ab0c92bda9b4a85:0x1ee3620444adc268!8m2!3d-34.91484!4d138.6027754",,5pm-10pm,(08) 8362 2150,,Not applicable ,www.cityofadelaide.com.au ,,,,,,
Light Up- New Years Eve,,31/12/21,31/12/21,Rymill Park / Murlawirrapurka (Park 14),"New Years Eve Event, will include live music and fireworks","Yes, 3pm till 2am closure of East Tce, Rundle St and Rundle Road","https://www.google.com/maps/@-34.923065,138.6135217,67m/data=!3m1!1e3",Yes,6pm till after midnight,,,,https://gluttony.net.au/lightup,,,,,,
New Years Eve,,31/12/21,31/12/21,Jerningham St,"New Years Eve Event at the Lion, will include live music and fireworks",Jerningham St road closure,"https://www.google.com/maps/@-34.9089229,138.6066892,21z",Yes,6pm till after midnight,,,,https://gluttony.net.au/lightup,,,,,,
Adelaide Tennis International 2022,,01/01/22,15/01/22,War Memorial Drive (in front of Adelaide Oval),Road closure of War Memorial Drive (in front of Adelaide Oval) to support the Tennis event,War Memorial Drive (in front of Adelaide Oval),"https://www.google.com/maps/@-34.9179718,138.5966186,20.67z",,24 hours for the period,,,,https://adelaideinternational.com.au/,,,,,,
The Quicksteps Outdoor Ballroom,,01/03/22,20/03/22,Light Square / Wauwi,A Fringe site consisting of an outdoor dance floor and performances.,No,"https://www.google.com/maps/@-34.9250816,138.5938103,37m/data=!3m1!1e3",,Times vary,,,,https://www.quicksteps.com.au/events-trips-outdoor-ballroom,,,,,,
Gluttony ,,01/03/22,20/03/22,Rymill Park / Murlawirrapurka (Park 14),Fringe venue in Rymill Park.,No,"https://www.google.com/maps/@-34.923065,138.6135217,67m/data=!3m1!1e3",,See website for details,,,,https://gluttony.net.au/,,,,,,
The Garden of Unearthly Delights,,01/03/22,20/03/22,Rundle Park / Kadlitpina (Park 13),Fringe arts precinct,No,"https://www.google.com/maps/@-34.9216461,138.6117272,37m/data=!3m1!1e3",,See website for details,,,,https://www.gardenofunearthlydelights.com.au/,,,,,,
Adelaide Fringe Festival at the Rhino Room,,01/03/22,20/03/22,Hyde Street,Road closure for Fringe activation at the Rhino Room,"Every Friday and Saturday night during Fringe.
A section of Hyde St between Pirie St and Stockley Alley","https://www.google.com/maps/place/Rhino+Room/@-34.9256773,138.6044866,37m/data=!3m1!1e3!4m5!3m4!1s0x6ab0ced2bf5e1bc9:0x493166ee06f00abe!8m2!3d-34.9256087!4d138.604617",,See website for details,,,,https://www.rhinoroom.com.au/adlfringe2022.html,,,,,,
Under the Southern Stars,,18/03/22,20/03/22,Bonython Park / Tulya Wardli (Park 27),Concert,No,"https://www.google.com/maps/@-34.9147416,138.5792728,67m/data=!3m1!1e3",,See website for details,,,,https://www.underthesouthernstars.com.au/event-dates,,,,,,
Big Bounce Australia 2022,,25/03/22,03/04/22,Ellis Park / Tampawardli (Park 24),"Inflatable touring event, featuring the World’s largest jumping castle.
",No,"https://www.google.com/maps/@-34.9279801,138.5833682,163m/data=!3m1!1e3",,See website for details,,,,https://thebigbounceaustralia.com.au/,,,,,,
AFL - Every weekend,,16/04/22,30/04/22,Adelaide Oval (Park 26),AFL at the Adelaide Oval each weekend- see website for further details- includes road closures pre & post event,"Yes
","https://www.google.com/maps/@-34.9149226,138.5959193,21z",,See website for details,,,,https://www.adelaideoval.com.au/whats-on/,,,,,,
AFL - Every weekend,,04/06/22,30/06/22,Adelaide Oval (Park 26),AFL at the Adelaide Oval each weekend- see website for further details- includes road closures pre & post event,"Yes
","https://www.google.com/maps/@-34.9149226,138.5959193,21z",,See website for details,,,,https://www.adelaideoval.com.au/whats-on/,,,,,,
World Gin Day event,,11/06/22,11/06/22,Gilbert Place,Road closure event,Gilbert Place closed 12pm - 12am,"https://www.google.com/maps/@-34.9236586,138.5990552,67m/data=!3m1!1e3",,,,,,,,,,,,
UniSA HPV Super Series - Pedal Prix,,17/06/22,19/06/22,Victoria Park / Pakapakanthi (Park 16) - North,A competition where teams race Human Powered Vehicles (HPV’s) on a closed controlled circuit.,No,"https://www.google.com/maps/@-34.9295469,138.6209997,67m/data=!3m1!1e3",,See website for details,,,,https://ahpvss.com/race/adelaide-race-1/,,,,,,
ADL Unleashed Hutt St Event,,10/06/22,13/06/22,Hutt Street,Hutt Street event,"Closure of a section of Carrington St between Hutt St and Allen Place, 10 & 11 June","https://www.google.com/maps/@-34.9308867,138.6123474,67m/data=!3m1!1e3",,See website for details,,,,https://pennyhospitality.com.au/events/hutt-street-party/,,,,,,
Mother's Ruin Gin Festival,,11/06/22,11/06/22,Gilbert Place,Street party event,Gilbert Place closed 12pm - 12am,"https://www.google.com/maps/@-34.9236924,138.5991207,67m/data=!3m1!1e3",,,,,,,,,,,,
Fork at Bonython,,18/06/22,18/06/22,Bonython Park / Tulya Wardli (Park 27) - Main Kiosk Site; ,Food truck event,No,"https://www.google.com/maps/@-34.9164843,138.5820152,67m/data=!3m1!1e3",,12pm - 8pm,,,,https://forkontheroad.com.au/,,,,,,
,,,,,,,,,,,,,,,,,,,
AFL First Qualifying Final - Adelaide vs Collingwood,,04/09/25,04/09/25,Adelaide Oval (Park 26),2025 Toyota AFL Finals Series,"Between 3:00 pm to 11:30 pm on Thursday 4 September 2025, the following road will be closed: 
•	War Memorial Drive between Riverbank Footbridge and King William Road. 
Between 10:00 pm to 11:30 pm on Thursday 4 September 2025, the following roads will be closed:
•	King William Street between Currie Street and North Terrace.  
•	King William Road between North Terrace and Pennington Terrace. 
•	Festival Drive between King William Road and a point 80 meters west. 
•	Sir Edwin Smith Avenue between Kermode Street and King William Road. 
•	Victoria Drive between Kintore Avenue and King William Road. 
•	War Memorial Drive from Edwin Smith Avenue to a point 180 meters east.  
•	Pennington Terrace between Palmer Place and King William Road. 
Between 10:10 pm to 11:30 pm on Thursday 4 September 2025, the following road will be closed:
•	North Terrace between Victoria Street and King William Road. 
","https://www.google.com/maps/@-34.915722,138.5962669,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,19:10-21:50,,1,,https://www.adelaideoval.com.au,,,,,,
2025 Winter Duathlon - Race 2 (State Championship),,07/09/25,07/09/25,War Memorial Drive,Winter Duathlon Race (Bike & Run),"War Memorial Drive, North Adelaide between Montefiore Road and Barton Terrace West
4.30am and 11.00am on Sunday 7 September 2025","https://www.google.com/maps/@-34.9174895,138.5968904,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,08:00-11:00,,2,,https://www.triathlon.org.au/,,,,,,
Hostplus SANFL Final Series - First & Second Semi-Finals,,07/09/25,07/09/25,Adelaide Oval (Park 26),"SANFL Final Series -First & Second Semi Finals

12:15 pm Adelaide vs Norwood

3:15 pm Glenelg vs Sturt",N/A,"https://www.google.com/maps/@-34.9155108,138.5960637,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,13:30-19:15,,3,,https://www.adelaideoval.com.au,,,,,,
AFL First Simi-Final - Adelaide vs Hawthorn,,12/09/25,12/09/25,Adelaide Oval (Park 26),2025 Toyota AFL Finals Series,"Between 3:00 pm to 11:30 pm on Friday 12 September 2025, the following road will be closed: 
•	War Memorial Drive between Riverbank Footbridge and King William Road. 
Between 9:20 pm to 11:30 pm on Friday 12 September 2025, the following roads will be closed:
•	King William Street between Currie Street and North Terrace.  
•	King William Road between North Terrace and Pennington Terrace. 
•	Festival Drive between King William Road and a point 80 meters west. 
•	Sir Edwin Smith Avenue between Kermode Street and King William Road. 
•	Victoria Drive between Kintore Avenue and King William Road. 
•	War Memorial Drive from Edwin Smith Avenue to a point 180 meters east.  
•	Pennington Terrace between Palmer Place and King William Road. 
Between 9:40 pm to 11:30 pm on Thursday 4 September 2025, the following road will be closed:
•	North Terrace between Victoria Street and King William Road. 
","https://www.google.com/maps/@-34.9152414,138.5962032,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,19:10-21:50,,4,,https://www.adelaideoval.com.au,,,,,,
Hostplus SANFL Final Series - Preliminary Final,,14/09/25,14/09/25,Adelaide Oval (Park 26),SANFL Final Series - Preliminary Final ,N/A,"https://www.google.com/maps/@-34.9151573,138.5964546,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,12:00-17:30,,5,,https://www.adelaideoval.com.au,,,,,,
2025 City to Bay Fun Run,,21/09/25,21/09/25,Elder Park (Park 26);  G S Kingston Park / Wirrarninthi (Park 23) ;  Josie Agius Park / Wikaparntu Wirra (Park 22);  King William Road;  King William Street;  Light Square / Wauwi;  Red Gum Park / Karrawirra (Park 12);  Red Gum Park / Karrawirra (Park 12);  South Terrace;  Veale Park / Walyu Yarta (Park 21);  Victoria Square / Tarntanyangga ,"Start on King William Road in front of Festival Centre - moving along King William Street, South Terrace and onto Anzac Highway
All ages compete in a timed 12 or 6km run/walk or enjoy a 3km event. Funds raised are for Athletics in SA and SA Athletes.","4:30am - 10.30am
King William Road, between War Memorial Drive and North Terrace
7:45am - 10.00am
King William Street, between North Terrace and Wright Street (Western carriageway)
6.15am - 10.00am
King William Street, between Wright Street and South Terrace (Western carriageway)
South Terrace and West Terrace along King William Street.
8.00am - 10.00am
King William Street, between North Terrace and South Terrace (Eastern carriageway)
6.15am - 7.15am
Corner South Terrace & Morphett Street along Morphett Street (Eastern side) to Sturt Street and Sturt Street (Southern side)
6.00am - 10.30am
Anzac Highway, between West Terrace and Greenhill Road. (Eastern side, southern carriageway only)","https://www.google.com/maps/@-34.9179286,138.5987088,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,04:00-13:00,,6,,https://city-bay.org.au/,,,,,,
Hostplus SANFL Grand Final,,21/09/25,21/09/25,Adelaide Oval (Park 26),"U17s Futures Game: 9:00am 
Reserves Grand Final: 11:00am 
League Grand Final: 2:30pm","Between 10:30 am and 6:30 pm on Sunday 21 September 2025, the following road will be closed: 
•	War Memorial Drive between Riverbank Footbridge and King William Road. 
Between 4:30 pm and 6:30 pm on Sunday 21 September 2025, the following roads will be closed:

•	King William Street between Currie Street and North Terrace.  
•	King William Road between North Terrace and Pennington Terrace. 
•	Festival Drive between King William Road and a point 80 meters west. 
•	Sir Edwin Smith Avenue between Kermode Street and King William Road. 
•	Victoria Drive between Kintore Avenue and King William Road. 
•	War Memorial Drive from Edwin Smith Avenue to a point 180 meters east.  
•	Pennington Terrace between Palmer Place and King William Road. 
Between 4:50 pm and 6:30 pm on Sunday 21 September 2025, the following road will be closed:

•	North Terrace between Victoria Street and King William Road. 
","https://www.google.com/maps/@-34.9153866,138.5963527,88m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI1MDkwNy4wIKXMDSoASAFQAw%3D%3D",TBA,14:30-17:00,,7,,https://www.adelaideoval.com.au,,,,,,
